date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,51.4,35.7,67.1,0.72
,67.6,49.7,85.4,0.32
,64.8,47.8,81.9,0.54
,53.2,39.8,66.7,0.80
,49.1,35.9,62.2,1.53
,40.1,27.8,52.5,0.82
,32.7,23.2,42.2,1.66
,32.4,22.5,42.3,0.72
,30.9,22.8,38.9,2.50
,27.5,20.0,35.0,1.15
,36.8,28.9,44.6,3.30
,44.0,30.3,57.8,1.21
,51.3,35.8,66.8,0.36
,64.3,44.7,83.8,0.10
,65.4,47.7,83.1,0.30
,60.0,45.7,74.4,1.35
,48.8,33.7,63.8,0.81
,35.8,24.1,47.6,0.39
,35.2,24.2,46.1,1.20
,35.8,25.6,46.1,0.85
,31.3,24.6,38.1,4.80
,32.3,24.6,40.1,2.00
,37.4,24.8,50.0,0.54
,41.7,30.1,53.2,1.11
,57.0,41.7,72.2,0.59
,61.5,42.9,80.0,0.00
,62.3,45.5,79.1,0.17
,58.2,45.7,70.7,3.81
,52.2,37.8,66.6,1.44
,41.7,29.0,54.3,1.19
,34.5,22.5,46.4,0.71
,27.8,19.7,35.9,0.93
,24.3,16.8,31.9,2.47
,28.4,21.0,35.8,2.12
,36.7,29.4,44.0,3.33
,45.6,32.1,59.2,0.95
,56.4,40.7,72.2,0.30
,60.0,46.9,73.0,2.12
,66.3,48.1,84.5,0.17
,57.4,42.0,72.9,0.59
,48.2,34.2,62.2,1.59
,39.6,25.4,53.8,0.33
,39.5,26.5,52.4,0.22
,37.3,28.4,46.2,1.48
,29.2,20.1,38.3,0.86
,27.6,18.8,36.4,0.66
,37.2,26.9,47.5,0.67
,46.7,33.0,60.4,1.34
,60.7,42.9,78.4,0.28
,67.8,48.7,86.8,0.12
,65.6,47.0,84.3,0.01
,57.2,42.3,72.1,1.02
,48.4,33.6,63.2,0.80
,35.1,25.5,44.6,1.96
,34.0,24.5,43.5,1.14
,35.3,24.3,46.3,0.15
,32.2,25.2,39.2,2.14
,31.8,25.1,38.4,2.57
,38.1,30.4,45.9,3.27
,46.9,32.0,61.8,0.66
,58.1,43.0,73.2,1.22
,62.5,44.9,80.0,0.04
,61.2,45.0,77.4,1.18
,54.7,40.7,68.8,1.29
,51.5,34.8,68.2,0.69
,43.0,27.5,58.5,0.19
,37.4,24.8,50.0,0.92
,30.4,20.6,40.3,0.72
,29.4,21.4,37.4,1.77
,28.7,19.9,37.5,0.55
,37.8,28.6,47.0,2.20
,50.4,34.2,66.7,0.32
,50.5,34.8,66.2,0.07
,61.5,47.2,75.7,2.06
,63.3,46.6,79.9,0.81
,55.8,41.4,70.2,2.06
,46.3,31.9,60.7,0.58
,43.3,31.1,55.4,1.56
,35.2,21.5,48.9,0.19
,35.2,25.0,45.3,0.23
,30.5,24.0,37.0,2.34
,29.3,22.7,36.0,7.04
,33.6,25.2,42.0,2.17
,48.2,32.0,64.4,0.61
,53.5,36.0,71.0,0.10
,60.2,42.9,77.4,0.30
,63.7,46.8,80.5,1.04
,54.8,41.6,68.0,1.90
,46.0,30.6,61.3,0.25
,38.9,25.3,52.4,0.38
,33.3,22.8,43.7,0.72
,31.2,18.8,43.7,0.20
,28.9,20.7,37.1,1.91
,31.3,23.2,39.4,1.32
,37.2,29.1,45.3,2.46
,48.0,35.6,60.3,0.62
,61.4,46.0,76.7,1.04
,61.9,44.9,78.8,0.35
,59.0,42.5,75.5,0.37
,54.2,40.2,68.2,1.20
,50.0,37.1,62.9,1.42
,38.4,29.3,47.6,2.61
,36.0,24.9,47.1,0.97
,40.1,30.7,49.5,2.05
,25.1,13.0,37.2,1.24
,34.3,25.6,42.9,1.56
,38.5,29.5,47.4,1.58
,46.2,33.6,58.7,3.21
,57.1,39.9,74.3,0.53
,60.2,44.4,76.0,0.71
,61.4,43.1,79.8,0.05
,54.9,38.5,71.3,0.14
,45.2,34.2,56.2,2.79
,45.7,30.9,60.4,0.71
,34.0,25.0,43.1,1.21
,31.6,23.6,39.6,1.51
,25.4,15.2,35.7,0.93
,29.7,22.7,36.7,1.83
,32.8,22.0,43.5,3.16
,45.1,32.1,58.2,0.96
,51.4,35.7,67.1,0.16
,67.4,50.0,84.7,0.54
,65.6,47.0,84.2,0.23
,61.8,44.8,78.8,1.05
,47.5,35.1,60.0,2.23
,41.9,29.6,54.2,0.38
,37.8,29.0,46.6,1.75
,37.3,29.4,45.2,2.37
,33.1,24.3,41.8,0.64
,29.7,21.6,37.8,0.84
,33.9,24.5,43.3,3.22
,47.1,33.0,61.2,0.55
,57.4,39.6,75.2,0.11
,60.0,42.8,77.3,0.37
,67.7,48.7,86.6,0.28
,57.4,39.9,75.0,0.05
,46.7,34.4,58.9,1.66
,42.9,31.1,54.6,1.05
,38.5,27.8,49.1,2.53
,30.6,22.8,38.4,1.64
,24.5,16.5,32.5,2.20
,29.6,19.1,40.1,0.63
,36.3,22.7,49.9,0.25
,47.2,34.1,60.3,0.95
,53.8,41.7,65.9,1.21
,59.9,42.6,77.2,0.37
,64.9,46.4,83.4,0.23
,57.2,42.6,71.9,0.72
,45.1,32.4,57.8,1.38
